"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";"PRECIO";"STOCK";"PESO";"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA";"CANONLPI";"PRECIOSINCANON"
"COO-SCA2533-R";"Coolbox Caja HDD 2.5"" SCA2533 Retro USB3.0";"AAACEM0024";"8436556142048";"AA";"Accesorios Almacenamiento";"CEM";"Cajas Externas Multimedia";"01690";"CoolBox";"5,9700000000";"34";"0,1200000000";"";"";"0,0000000000";"0,0000000000";"5,9700000000"
"TQE-2510B";"TooQ TQE-2510B caja HD 2.5"" SATA USB 2.0 Negra";"AAACET0016";"8433281000094";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"4,0400000000";"7";"0,1950000000";"";"";"0,0000000000";"0,0000000000";"4,0400000000"
"TQE-3520B";"TooQ TQE-3520B caja externa HD 3.5""IDE/SATA3 Negra";"AAACET0113";"8433281006577";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"13,9900000000";"7";"0,6700000000";"";"";"0,0000000000";"0,0000000000";"13,9900000000"
"TQE-3509B";"TooQ TQE-3509B caja externa HD 3.5"" SATA3 a USB2.0";"AAACET0115";"8433281005662";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,2400000000";"2";"0,5850000000";"";"Ultimas unidades";"0,0000000000";"0,0000000000";"12,2400000000"
"EW7041";"Ewent EW7041 Carcasa Portátil HD  SATA 2.5"" USB";"AAACET0117";"8716065231205";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"4,3800000000";"14";"0,2200000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"4,3800000000"
"TQDS-802B";"Tooq TQDS-802B Dock Station Doble Bahía HDD Negra";"AAACET0135";"8433281006676";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"19,1500000000";"14";"0,7050000000";"";"";"0,0000000000";"0,0000000000";"19,1500000000"
"TQDS-802BW";"Tooq TQDS-802BW Dock Station Doble Bahía HDD Ne/Bl";"AAACET0136";"8433281006683";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"20,6700000000";"0";"0,7000000000";"";"";"0,0000000000";"0,0000000000";"20,6700000000"
"TQE-2530B";"TooQ TQE-2530B caja HDD 2.5"" SATA3 USB 3.0 Negra";"AAACET0153";"8433281006768";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,5400000000";"0";"0,0800000000";"";"";"0,0000000000";"0,0000000000";"5,5400000000"
"TQE-3530B";"TooQ TQE-3530B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0155";"8433281006782";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"13,3500000000";"7";"0,7500000000";"";"";"0,0000000000";"0,0000000000";"13,3500000000"
"TQE-3527B";"TooQ TQE-3527B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0160";"8433281006867";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,0400000000";"22";"0,3500000000";"";"";"0,0000000000";"0,0000000000";"12,0400000000"
